,x,y,z,rx,ry,rz
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.01032950533055299,-0.008925803875869942,-0.3320134946086073,-0.3468873128415595,-0.009798914821565474,-0.005928655695797147
0.1,-0.013956364721812164,-0.007567607852888847,-0.27110956765179495,0.16096931358084987,-0.04615142254975335,0.010368829186901962
0.15000000000000002,-0.01825166931226363,-0.0055135163426922595,-0.4107089724317392,0.10911625721057305,-0.057008260076299444,0.022229800580397807
0.2,-0.019422840843796862,-0.008336874843814512,-0.5119335295468153,0.051626231348578244,-0.06092038143906686,0.02059324024354936
0.25,-0.020683443188929118,-0.009826469750283395,-0.5716267948731923,0.024380834695492126,-0.06260149226913203,0.020313869678822982
0.30000000000000004,-0.021624718035884172,-0.01044336931481371,-0.6064684697861811,0.012426171245571993,-0.06348508930268115,0.020568900055373263
0.35000000000000003,-0.021619891550761494,-0.010428367611238498,-0.6124468077723488,0.007344255034524849,-0.06262384685704891,0.020323591664350715
0.4,-0.013385481802474786,-0.007928279239165226,-0.42673174071454767,0.004871965651886967,-0.04175252388092521,0.010114259965199324
0.45,-0.0059468794950223725,-0.005935356802491687,-0.26029420117550384,-0.0023909767602248166,-0.02435751502295469,0.0015229072285904977
0.5,-0.0022336570946634993,-0.004157683401675993,-0.15585109114786277,0.0012409502216925716,-0.014765840439096012,-0.0013010481682229624
0.55,-0.0005499731875246994,-0.0027460440549062493,-0.09243548377459998,0.003656671179008697,-0.009068595358013853,-0.0016794823981314266
0.6000000000000001,0.0002488614106344045,-0.0019256209791346235,-0.054692221960284115,0.003917007979303833,-0.005627749031864027,-0.0018147019682501764
0.65,0.00038764758345521955,-0.001215841041343757,-0.032784932269458444,0.0024182166347586076,-0.0034353158650551885,-0.0012155855724671483
0.7000000000000001,0.003032022415139224,-0.00023880858613101186,0.03902270875917324,0.0020358003009590675,0.004467189236295743,-0.0046188077611475364
0.75,0.01191899983714606,0.0032007199188166524,0.27018901446462795,-0.0021637613141223255,0.03142834067467737,-0.0161550130833632
0.8,0.015736729507453973,0.006515961283402871,0.4220831371459344,-0.008894144894355804,0.04957929733224453,-0.02008661246133414
0.8500000000000001,0.017062494953634655,0.009196785467335822,0.5182765808892653,-0.004513591702526298,0.059933498610018066,-0.01895255933437312
0.9,0.01706139798760553,0.011276021852067719,0.5754171346544212,-0.0036386279582245606,0.06581743699682618,-0.016853580073927787
0.9500000000000001,0.016591637462815,0.012696006606068011,0.6093654528332992,-0.0038809161676311987,0.0690214322099536,-0.014938172545875261
1.0,0.016211676745392367,0.013508566252139198,0.6297820382412334,-0.003802938424257718,0.07049658835386607,-0.013764224702761396
