,x,y,z,rx,ry,rz
0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-16,8.881784197001252e-15
0.05,-0.0004406297573722462,-0.0003478414487478182,-0.016461472315025816,0.00012700344098171001,-0.001738974326817161,0.00041602392593098614
0.1,-0.0013218892721145181,-0.0010435243462434893,-0.04938441694507856,0.0003807956710843996,-0.005216938814130573,0.001248013811805393
0.15000000000000002,-0.002203148786861231,-0.001739207243739143,-0.08230736157513019,0.0006339440359059978,-0.008694950753668634,0.0020798301703717215
0.2,-0.0030844083016057233,-0.002434890141234814,-0.11523030620518404,0.0008860195919080383,-0.012173041617620645,0.002911358552148968
0.25,-0.003965667816345775,-0.0031305730387304505,-0.14815325083523345,0.001136593841639666,-0.01565124263449999,0.003742486360200914
0.30000000000000004,-0.004846927331092488,-0.0038262559362261216,-0.18107619546528841,0.0013852389044277658,-0.019129584692198776,0.004573103589331495
0.35000000000000003,-0.005679227983905744,-0.004483289783860905,-0.21217008761589162,0.0016176085697594544,-0.022414864768023623,0.005356929919564379
0.4,-0.0058750634316262484,-0.004637885983304387,-0.21948629753368198,0.001667146346342463,-0.023188245745953268,0.005540013870239946
0.45,-0.005875063431628469,-0.00463788598330437,-0.21948629753368087,0.001660802091425495,-0.02318870616176319,0.005538362791357443
0.5,-0.005875063431624028,-0.004637885983304387,-0.21948629753368087,0.0016544612013902338,-0.02318916466301016,0.005536726317654228
0.55,-0.005875063431628469,-0.004637885983304387,-0.21948629753368198,0.0016481236348031558,-0.023189621252443643,0.005535104441394267
0.6000000000000001,-0.0058750634316262484,-0.0046378859833043785,-0.21948629753368198,0.0016417893502929104,-0.023190075932794096,0.005533497155010281
0.65,-0.0058750634316262484,-0.0046378859833043785,-0.21948629753368087,0.0016354583065059103,-0.023190528706773655,0.005531904451068215
0.7000000000000001,-0.005679227983905744,-0.004483289783860905,-0.21217008761589162,0.0015749280284715894,-0.02241793968056474,0.005346007383035811
0.75,-0.004846927331092488,-0.003826255936226104,-0.1810761954652873,0.0013394450856019091,-0.01913288389819426,0.0045613843476122184
0.8,-0.003965667816345775,-0.0031305730387304505,-0.14815325083523456,0.0010927089160084336,-0.015654404312637482,0.003731255653995902
0.8500000000000001,-0.0030844083016057233,-0.0024348901412348054,-0.11523030620518293,0.0008478938239520062,-0.012175788377103841,0.002901601706568613
0.9,-0.002203148786861231,-0.0017392072437391257,-0.08230736157512963,0.0006045721701575246,-0.008697066839865736,0.0020723135666944614
0.9500000000000001,-0.0013218892721145181,-0.001043524346243524,-0.04938441694508078,0.0003623168691113676,-0.005218270112749279,0.0012432848759846848
1.0,-0.0004406297573722462,-0.0003478414487478182,-0.01646147231502526,0.00012070122522800375,-0.0017394283675947753,0.0004144111181414445
