,x,y,z,rx,ry,rz
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.026699962698684132,-0.16964533487320854,0.21498073217909308,-0.0020289594880651407,-0.2380019247938625,-0.18586332783601112
0.1,-0.015867599541374844,0.06459993634622685,-0.14795741121134132,0.004465963418098795,0.19939362585306153,0.07143257176389639
0.15000000000000002,-0.0034648416026072937,0.04467136034738417,-0.044177440596260276,0.01697394656030582,0.03503942605314059,0.0377116448905479
0.2,0.002070325346892332,0.027028596979741804,-0.0054049124343036326,0.02949259223434808,-0.01571512914171347,0.004508407395653613
0.25,0.005395990797030237,0.012338178613621742,0.009399659171038799,0.040696323175382076,-0.03131772373692332,-0.02448257812779353
0.30000000000000004,0.007904391672797217,0.0022496604653671204,0.016314885073853702,0.0517468801062293,-0.038014458555202246,-0.04650576832900821
0.35000000000000003,0.010122280575775022,-0.004469821853472777,0.0208502355046436,0.06277891528050361,-0.04345317767389112,-0.06373515168198729
0.4,0.012172024857148855,-0.009060446368802655,0.02469804180704749,0.07384620894814731,-0.04913388599627755,-0.07810149720879345
0.45,0.014192982910010699,-0.012581743606518425,0.028300860256025295,0.08475303716632965,-0.05511567967639852,-0.09122826264524875
0.5,0.015958421698059055,-0.015350932198499034,0.031814363802595835,0.09547269630321153,-0.06087566460366567,-0.10319390293347386
0.55,0.017665922071907758,-0.01781133406257851,0.035222746384322434,0.10598521926787896,-0.06643886615185224,-0.1148025345589554
0.6000000000000001,0.019294036589689867,-0.020050676368946196,0.038602529614051306,0.11638289983899597,-0.07191111725994848,-0.12604311791628575
0.65,0.021271876749517915,-0.021914343659279467,0.04234033912422497,0.1274345096836882,-0.07934419813726556,-0.13704496810411637
0.7000000000000001,0.022222391363690974,-0.02460700919358072,0.04548791181275824,0.1364865572035967,-0.0825509913348732,-0.14809844461645127
0.75,0.0233879979567142,-0.026622910294343827,0.04862676719432635,0.1465232461312027,-0.086148108096884,-0.15846503578957893
0.8,0.024504165184513482,-0.028453844831802244,0.0513687750931302,0.156070379809492,-0.08853017754011372,-0.1686940749912047
0.8500000000000001,0.025505205978459955,-0.03056546062286114,0.05490605445546137,0.16627155681323558,-0.09281837608632326,-0.17886385500016644
0.9,0.026409458203824343,-0.03234703658641369,0.05804941047065082,0.17635046692827672,-0.09547743726114888,-0.18864977901102975
0.9500000000000001,0.024923792177711235,-0.028024603323245634,0.06740527952560083,0.18977051183348692,-0.10559071268694264,-0.18617213934004617
1.0,0.04694701038951976,0.13060261433747167,0.2830255535254622,0.21148456971449292,-0.3836217155192223,0.028801001582445807
1.05,0.04231820570805844,-0.03314711478888954,0.15371994952533274,0.21877296669075008,-0.2005964418441808,-0.23168388273631102
1.1,0.02714928312093079,-0.08284905838830126,0.0680320444704341,0.21365527925070182,-0.0718100397740562,-0.29363947352485376
1.1500000000000001,0.028398038996257924,-0.06119647446316545,0.08596066339068287,0.22879345575610444,-0.10486134392320157,-0.26124116860049007
1.2000000000000002,0.028735884616049034,-0.04842083726808999,0.09597446612557015,0.2419924810867613,-0.11701491624778182,-0.24946824106519827
1.25,0.02845226872101314,-0.042030837543888255,0.10322331452821132,0.2539096799434759,-0.12139077213542127,-0.2489785989300497
1.3,0.028112847508898753,-0.038525346003676075,0.10837816570645753,0.2668372449505796,-0.12128824106449887,-0.2535389172072744
1.35,0.026971916525031503,-0.03682983685941443,0.11354575164799208,0.27861484568898476,-0.11927593477722986,-0.2597549241948993
1.4000000000000001,0.025725278567989562,-0.035628980336868676,0.11719200717694722,0.2914216018833571,-0.11398921522436378,-0.26688088745898675
1.4500000000000002,0.024304532347052543,-0.035556374903739085,0.12134823792520066,0.3043109489148321,-0.10953053663860235,-0.27531985912441215
1.5,0.02233859734208643,-0.03552016535297575,0.12621832644257314,0.31658201997259994,-0.10484718870913401,-0.2832226194658727
1.55,0.020146271636045654,-0.034990334319978666,0.12889604801507026,0.3308391004610556,-0.0942148657306463,-0.2905969194573199
1.6,0.017728555378004884,-0.035380574749094285,0.13321365791187922,0.34377265002447643,-0.0875470596471084,-0.2991512173259103
1.6500000000000001,0.014715424437339308,-0.03512179411014893,0.13645435567652964,0.3571615049885679,-0.07548071040444082,-0.30623220992636035
1.7000000000000002,0.011906158194818772,-0.03473953603897462,0.1393540520137737,0.37191392724977845,-0.06375668153615344,-0.31374451904140344
1.75,0.008263820787224319,-0.03487594471217603,0.14386223247366825,0.38487620494649377,-0.052920675732126554,-0.32099779101373294
1.8,0.004339216823190384,-0.03431185086696931,0.1470788223729258,0.3983765631371483,-0.03780880174366619,-0.3269823598031074
1.85,0.0004154531734634759,-0.03345420240212227,0.14987490564695172,0.4126871978424873,-0.021679505944405264,-0.33261374598563265
1.9000000000000001,-0.0043479067143969985,-0.03312083839997482,0.15336080632908367,0.4248381052695649,-0.00491897704488764,-0.3376937478607456
1.9500000000000002,-0.009024404919788509,-0.03186917161916991,0.15594066955340047,0.4379241184265581,0.0137383954084358,-0.34134702113775006
2.0,-0.014188397450309864,-0.031080805241201492,0.15918106083596673,0.4498812000040431,0.032930867759750626,-0.34451598888813884
2.0500000000000003,-0.020095035475176104,-0.028683347337821186,0.16219665762444713,0.4609218873719456,0.05463806200136645,-0.3437578919399886
2.1,-0.025477594800182857,-0.028910203827964276,0.16385359108941344,0.4697958555420101,0.07664362244912404,-0.3464205387390784
2.15,-0.03212351730885743,-0.026579735617160427,0.167385669735709,0.47844696230185946,0.09910726729807084,-0.3427342851300974
2.2,-0.038623831840345346,-0.024724593835206976,0.16942645136968082,0.48517068976412503,0.12364836776892485,-0.33841455506693485
2.25,-0.045644649108256274,-0.022758657197047283,0.1709841502899101,0.48888891129141854,0.14988710954639828,-0.33124091718157445
2.3000000000000003,-0.05286611342532055,-0.019904094487460666,0.1726465570552227,0.49182450053137927,0.1766286932676664,-0.3205355422427836
2.35,-0.06044717712696546,-0.017593621393474645,0.17377757328964627,0.49065453291419203,0.20321169348265222,-0.3078925297265389
2.4000000000000004,-0.06850616156746092,-0.014311539434253007,0.1750481297998041,0.48751969501967807,0.23063068534414644,-0.2904342539100213
2.45,-0.07670543164630672,-0.011659913561212765,0.17597322186166942,0.4808908551817481,0.2566338325319606,-0.27125230702971237
2.5,-0.08505040823147958,-0.0077504769471214985,0.17547368149466447,0.47071083464782504,0.285535997135522,-0.24566411976505442
2.5500000000000003,-0.09398547509080757,-0.004008194328480874,0.1759014443800222,0.45759440122630224,0.3108557562622405,-0.21745883980477387
2.6,-0.103083228554679,0.00021161771739941493,0.17500092703814918,0.43997416695020775,0.3367203808508634,-0.18422314159129982
