,x,y,z,rx,ry,rz
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0034346303870780304,-0.0016360784836061404,-0.011444225450294443,-0.016709993591397243,-0.0033776959680402755,0.0009521385828614726
0.1,-0.0023460727075419463,-0.001152486571032469,-0.0075729794267953565,-0.00929848546635359,-0.0023454880121805068,0.000554692275338553
0.15000000000000002,-0.001327896150333796,-0.0006260743364249789,-0.004034705028219676,-0.003608711247218288,-0.002124726657266564,1.4101629748353162e-05
0.2,-0.000710784041313417,-0.0002760869526031301,-0.0015702805135719977,4.8979376199298486e-06,-0.0029362485036093957,-0.0004816946354679885
0.25,-0.0003212836290966692,-1.3808196767470943e-05,0.0003809933204190763,0.0028588080487068623,-0.004538463668637235,-0.0010297152829785716
0.30000000000000004,-5.393805114994876e-05,0.00021332530022758964,0.0021535376004178097,0.0056046011270805,-0.00680362276839936,-0.001679375141030448
0.35000000000000003,0.0001513548163423195,0.00043358624799580414,0.003936422363974845,0.008548078617418575,-0.009662903765883501,-0.002452816417899406
0.4,0.00032975107006172344,0.0006626763848660566,0.005837068025500436,0.011830806127122173,-0.013073628581757958,-0.0033608859515465994
0.45,0.0005021252897030593,0.0009092672268450411,0.007914998309643817,0.015513947111522874,-0.017005223010963355,-0.00440999661321495
0.5,0.000681228452509286,0.0011779874701271786,0.010201491985877276,0.0196192722381916,-0.021432754276975146,-0.0056053718601134506
0.55,0.0008753085919299686,0.0014711117763038448,0.012711229506481292,0.024149487051832175,-0.02633385749069383,-0.0069526463100055835
0.6000000000000001,0.0010902321062034037,0.0017895278799192824,0.015449180316406963,0.02909828204617604,-0.03168724469580268,-0.008458670000677238
0.65,0.0013307223429304127,0.0021332965120564144,0.018414662174031093,0.03445528054899061,-0.03747195919084099,-0.010131923549216992
0.7000000000000001,0.0016010810850974888,0.00250197891572922,0.021603726197361173,0.04020846943919132,-0.0436669818216515,-0.011982738268927484
0.75,0.0019056077024137696,0.0028948300504574517,0.025010553227053922,0.04634539887547806,-0.05025100318288053,-0.014023413231569748
0.8,0.0022488414104193666,0.003310913198268199,0.028628267331261004,0.05285378755417902,-0.05720227284847397,-0.016268273132018507
0.8500000000000001,0.0026356995752130352,0.003749167876242465,0.03244940585049205,0.059721846169069615,-0.06449848266709371,-0.01873368815461962
0.9,0.003071554506953733,0.0042084500711205355,0.03646618706449445,0.06693847162460465,-0.07211666289625912,-0.021438067501140523
0.9500000000000001,0.003562273364149382,0.004687555543919815,0.040670658361983136,0.0744933852730556,-0.08003308051880847,-0.024401832029603554
1.0,0.0041142351234269015,0.005185232977902542,0.045054773172044094,0.08237724915310718,-0.08822313438234759,-0.027647370649765968
