,x,y,z,rx,ry,rz
0.0,-12.65898383939394,4.043498275489686,-4.576784522301924,-60.1089897027533,-6.643291528809505,-20.28464783263478
0.05,0.0006937561377817758,0.000611248063098202,0.0007245587503090789,-0.0010259079955332595,-0.0014476842781441235,0.001175804746544884
0.1,0.0041207470425685955,0.003630824145639533,0.0043039078498452454,-0.0060939050023023356,-0.008599017342736381,0.00698433394310527
0.15000000000000002,0.008126565983479495,0.007161687631396241,0.008489460486416078,-0.012019984731104216,-0.016959177900455202,0.013776660153208553
0.2,0.012006377639028898,0.010585648853933538,0.012548724353345087,-0.017766474515390485,-0.025059462774734698,0.020364229345659624
0.25,0.015758504317808786,0.013905696088256647,0.016485709461411258,-0.02333821411291126,-0.032899698487387496,0.026753747819885376
0.30000000000000004,0.0193803034244322,0.017125428447528623,0.020305305015233532,-0.028741024325817932,-0.04047878819177786,0.0329534153725497
0.35000000000000003,0.022868280461008084,0.020248974303627154,0.024013166542280473,-0.03398159483758434,-0.047794814800750096,0.03897273632915699
0.4,0.02621819242061285,0.023280911302192564,0.027615607348507876,-0.03906738299850332,-0.054845132659497864,0.04482233919835821
0.45,0.02942514141230923,0.026226187654476707,0.031119494054843155,-0.04400652378677705,-0.061626447362583825,0.05051380470026956
0.5,0.032483658547066696,0.029090044492485756,0.03453214599765664,-0.04880775086970601,-0.0681348835907647,0.056059501941874146
0.55,0.035387778295437045,0.031877939154334456,0.03786123832674182,-0.05348032844292305,-0.07436604108910227,0.0614724325864735
0.6000000000000001,0.03813110367691941,0.03459546932965685,0.04111470865728606,-0.05803399323944802,-0.08031503909300408,0.0667660828812977
0.65,0.04070686277937163,0.03724829804924168,0.04430066714979919,-0.06247890592661065,-0.08597654968025559,0.07195428346715715
0.7000000000000001,0.043107957212473735,0.03984207953718899,0.04742730990778821,-0.06682561088027228,-0.091344820648942,0.07705107690307855
0.75,0.04532700320569738,0.042382385974593095,0.05050283558906132,-0.07108500318029343,-0.09641368862522981,0.08207059286178264
0.8,0.04735636613064642,0.04487463524283086,0.05353536513255097,-0.07526830151611819,-0.10117658317561062,0.0870269309602989
0.8500000000000001,0.04918818930108593,0.047324019725869526,0.056532864497771396,-0.07938702558121236,-0.1056265227522557,0.09193405116221243
0.9,0.05081441794776431,0.049735436263664834,0.059503070323996266,-0.08345297645817595,-0.1097561033408967,0.09680567166565623
0.9500000000000001,0.052226819304568295,0.0521134173515847,0.062453418402597105,-0.0874782184025591,-0.11355748069237226,0.10165517413236458
1.0,0.05341699976897374,0.05446206368951989,0.06539097486818468,-0.09147506043554188,-0.117022347036988,0.10649551603094665
1.05,0.0543764201086816,0.05678497818695227,0.06832237000634622,-0.09545603609115716,-0.12014190317659601,0.11133914977854431
1.1,0.05509640969982854,0.05908520154269681,0.07125373458741757,-0.09943387972075612,-0.12290682685509591,0.1161979482231068
1.1500000000000001,0.05556818075946879,0.06136514952161942,0.0741906386327984,-0.10342149770767861,-0.12530723828974022,0.12108313587066988
1.2000000000000002,0.05578284354288421,0.06362655207226009,0.07713803254068008,-0.10743193304776355,-0.12733266376396823,0.12600522508581236
1.25,0.055731423430138705,0.06587039444021503,0.08010019050826989,-0.11147832173410421,-0.12897199816435112,0.1309739562973533
1.3,0.0554048808162122,0.06809686046063135,0.08308065619502258,-0.11557383945142163,-0.13021346737156492,0.13599824103085467
1.35,0.05479413466642491,0.07030527823563837,0.08608219061707612,-0.1197316371339241,-0.13104459143082892,0.1410861063586566
1.4000000000000001,0.05389009056302463,0.0724940684397879,0.08910672226010163,-0.12396476395242217,-0.13145214946737038,0.14624463913053276
1.4500000000000002,0.052683674010323145,0.0746606955303708,0.09215529945520995,-0.12828607635668732,-0.13142214736965308,0.15147992808142163
1.5,0.051165869718161616,0.07680162218051123,0.09522804507295923,-0.13270813178571927,-0.13093978934388684,0.15679700168664823
1.55,0.0493277674995074,0.07891226730627476,0.09832411365164884,-0.13724306568274613,-0.12998945454484323,0.16219975938671638
1.6,0.04716061536385041,0.08098696809442085,0.10144165108956216,-0.14190245043295135,-0.12855468012653581,0.1676908935665189
1.6500000000000001,0.044655880298272166,0.08301894650433184,0.10457775710577266,-0.14669713481296753,-0.126618152219804,0.17327179947690396
1.7000000000000002,0.04180531713458002,0.08500028075997257,0.10772845069091375,-0.151637062533716,-0.12416170654886427,0.17894247010463715
1.75,0.038601045821495816,0.08692188240538856,0.11088863883539357,-0.15673106839670936,-0.12116634063860099,0.18470137284900545
1.8,0.035035637295255384,0.08877347955182913,0.11405208886396956,-0.1619866506041845,-0.11761223984674274,0.19054530480087095
1.85,0.03110220804876107,0.09054360699147779,0.11721140475351444,-0.16740971774904523,-0.11347881977757934,0.19646922338178996
1.9000000000000001,0.026794523359985334,0.09221960390350947,0.12035800785670236,-0.17300430907845055,-0.10874478799939302,0.20246604920783895
1.9500000000000002,0.02210710902654789,0.09378761991585272,0.12348212250721247,-0.17877228678653267,-0.10338822838957817,0.20852643821420713
2.0,0.017035371296802992,0.09523263032545914,0.12657276701093512,-0.18471299928926044,-0.09738671186809711,0.21463852042229448
2.0500000000000003,0.01157572455396938,0.0965384612986564,0.12961775058144553,-0.19082291489027625,-0.09071743774540231,0.22078760325996427
2.1,0.0057257261477428045,0.09768782589635316,0.1326036767973271,-0.1970952257860148,-0.08335741038369981,0.2269558380548098
2.15,-0.0005157824027879343,0.09866237176077708,0.13551595419802887,-0.20351942322704986,-0.07528365633651113,0.23312184935617708
2.2,-0.007148528762002115,0.09944274129793929,0.13833881464666575,-0.210080845791083,-0.06647348757998772,0.23926032803238684
2.25,-0.014170658815082504,0.10000864515160579,0.1410553401007597,-0.21676020423733178,-0.056904816804836944,0.24534159081737172
2.3000000000000003,-0.02157858267128887,0.10033894972453217,0.14364749843944757,-0.22353308837015362,-0.04655653101036661,0.251331111102715
2.35,-0.029366819117848664,0.10041177942938795,0.1460961889756085,-0.2303694638086995,-0.03540892973045162,0.257189028405147
2.4000000000000004,-0.037527840172169036,0.10020463426750337,0.1483812982723709,-0.23723316956196783,-0.023444234072966808,0.2628696471392189
