,x,y,z,rx,ry,rz
0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-15,0.0
0.05,4.289384465394619e-05,-0.0006024854049585526,-0.016583684341446858,2.0016620334573076e-05,-0.0005118712606269615,-0.0019249650073849267
0.1,0.00012868153396183857,-0.0018074562148773232,-0.049751053024342795,6.034714630231974e-05,-0.0015356022690249382,-0.005774863243743766
0.15000000000000002,0.00021446922326529005,-0.0030124270247944285,-0.08291842170723651,0.00010156949172390739,-0.002559298454695713,-0.009624666300469542
0.2,0.000300256912570962,-0.004217397834713199,-0.11608579039013134,0.00014427808082473348,-0.003582935655241093,-0.013474311242287484
0.25,0.0003860446018810748,-0.005422368644630304,-0.14925315907302505,0.00018906715401278973,-0.004606488287581811,-0.017323735910785842
0.30000000000000004,0.00047183229118674674,-0.00662733945454852,-0.1824205277559221,0.00023653069259665926,-0.005629928779986304,-0.021172879234896413
0.35000000000000003,0.000552853997755065,-0.007765367441693316,-0.21374526484532086,0.00028477164856433035,-0.006596363336005273,-0.024807824728236838
0.4,0.0005719179287111409,-0.008033138732785883,-0.22111579121929736,0.0003032479122566656,-0.006823449492243672,-0.025662362512992587
0.45,0.0005719179287111409,-0.008033138732785883,-0.22111579121929847,0.00031204972289700095,-0.0068230573982364096,-0.025661448803413478
0.5,0.0005719179287111409,-0.008033138732785883,-0.22111579121929736,0.0003208500459539465,-0.006822654085710811,-0.025660541228482714
0.55,0.0005719179287111409,-0.008033138732785883,-0.22111579121929736,0.00032964887239472773,-0.006822239556432963,-0.025659639787400934
0.6000000000000001,0.0005719179287111409,-0.008033138732785883,-0.22111579121929958,0.0003384461931954519,-0.006821813812167565,-0.025658744479244433
0.65,0.0005719179287111409,-0.00803313873278616,-0.22111579121929736,0.00034724199936775335,-0.006821376854685701,-0.025657855303142796
0.7000000000000001,0.000552853997755065,-0.0077653674416930385,-0.21374526484531975,0.0003440267363252758,-0.0065935717351461864,-0.024801754011605226
0.75,0.0004718322911845263,-0.00662733945454852,-0.182420527755921,0.00030010750827536015,-0.005626933586969918,-0.02116636573972208
0.8,0.0003860446018810748,-0.005422368644630582,-0.1492531590730256,0.0002499932581656594,-0.004603617984267894,-0.0173174939684273
0.8500000000000001,0.0003002569125754029,-0.004217397834712644,-0.1160857903901319,0.0001972082283696608,-0.0035804420599344633,-0.013468888482295327
0.9,0.00021446922326529005,-0.0030124270247949836,-0.08291842170723596,0.00014234629038156754,-0.0025573774220433165,-0.009620488658912407
0.9500000000000001,0.00012868153396183857,-0.0018074562148764906,-0.04975105302434335,8.600104290046318e-05,-0.0015343936927253443,-0.005772234961929357
1.0,4.289384465172574e-05,-0.0006024854049591077,-0.016583684341446858,2.87658884623454e-05,-0.0005114590757956949,-0.0019240686305810328
