,q0,q1,q2,q3,q4,q5,q6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,7.194267171954432e-06,-5.809396437491649e-05,-4.0444671513348814e-05,7.667886449489356e-05,4.5722196658817587e-07,-0.00010002487963968273,0.00013194468903569137
0.1,2.848857859238924e-05,-0.00023004628967493004,-0.0001601568548278404,0.00030364063570695755,1.8105532666470895e-06,-0.0003960885211377613,0.0005224877744456196
0.15000000000000002,6.345346915702676e-05,-0.0005123890298435699,-0.00035672218658251036,0.0006763079333764532,4.032699823536898e-06,-0.0008822198930690647,0.0011637527570282401
0.2,0.00011166383381340935,-0.0009016894463985423,-0.0006277508147195508,0.0011901498481092217,7.0966446578425255e-06,-0.0015525085836167983,0.002047943102040906
0.25,0.00017269892756089955,-0.0013945500084317315,-0.0009708773984843117,0.0018406819413766874,1.0975647887373671e-05,-0.002401104800572546,0.003167342239199872
0.30000000000000004,0.00024614236545067995,-0.0019876083926091987,-0.0013837611084252992,0.0026234662455158534,1.56432467271648e-05,-0.0034222193713362692,0.004514313562680289
0.35000000000000003,0.000331582122585753,-0.0026775374831711817,-0.0018640856263941765,0.0035341112637293053,2.1073255489475143e-05,-0.004610123742916304,0.006081300431116208
0.4,0.0004286105341209415,-0.003461045371932097,-0.002409559145545764,0.004568271970085209,2.7239765583788715e-05,-0.005959149981929368,0.007860826167600579
0.45,0.0005368242952628883,-0.004334875358280538,-0.00301791437033804,0.005721649809517313,3.411714551681429e-05,-0.007463690774600552,0.00984549405968525
0.5,0.0006558244612700564,-0.0052958059491792775,-0.003686908516532139,0.006989992697824947,4.168004089248542e-05,-0.009118199426763332,0.012027987359380973
0.55,0.0007852164474527286,-0.00634065085916526,-0.004414323311192353,0.00836909502167302,4.990337441196041e-05,-0.010917189863859549,0.014401069283157392
0.6000000000000001,0.0009246100291730077,-0.007466259010349613,-0.005197964992686128,0.009854797638592021,5.876234587362235e-05,-0.012855236630939432,0.01695758301194305
0.65,0.0010736193418448173,-0.008669514532417637,-0.00603566431068407,0.011442987876978021,6.823243217307908e-05,-0.014926974892661576,0.01969045169112539
0.7000000000000001,0.0012318628809339,-0.009947336762628817,-0.006925276526159943,0.01312959953609268,7.828938730316326e-05,-0.01712710043329297,0.02259267843055076
0.75,0.001398963501957819,-0.011296680245816804,-0.007864681411390665,0.014910612886063221,8.890924235393226e-05,-0.019450369656708967,0.025657346304524403
0.8,0.0015745484204859588,-0.012714534734389441,-0.008851783249956315,0.01678205466788247,0.00010006830551266828,-0.021891599586393303,0.028877618351810456
0.8500000000000001,0.0017582492121395218,-0.014197925188328736,-0.009884510836740124,0.018739998093408823,0.00011174316206387822,-0.024445667865438094,0.03224673757563197
0.9,0.001949701812591531,-0.015743911775190873,-0.010960817477928483,0.020780562845366245,0.00012391067438929378,-0.02710751275654381,0.03575802694367087
0.9500000000000001,0.0021485465175668317,-0.01734958987010623,-0.01207868099101094,0.022899915077344308,0.00013654798196787146,-0.029872133142019346,0.039404889388068
1.0,0.0023544279828420864,-0.019012090055779342,-0.0132361037047802,0.02509426741379815,0.00014963250137579252,-0.03273458852378193,0.04318080780542311
1.05,0.0025669952242457785,-0.02072857812248894,-0.014431112459332124,0.02735987895004848,0.00016314192628646295,-0.03568999902335719,0.047079345056794814
1.1,0.0027859016176582123,-0.022496255068087914,-0.01566175860606573,0.02969305525228162,0.00017705422747051356,-0.03873354538187911,0.05109414396770066
1.1500000000000001,0.003010804899011512,-0.024312357098003348,-0.016926118007683195,0.03209014835754944,0.00019134765279579986,-0.04186046896009009,0.055218927328117076
1.2000000000000002,0.0032413671642896207,-0.02617415562523649,-0.01822229103818985,0.0345475567737694,0.00020600072722740223,-0.04506607173834086,0.0594474978924794
1.25,0.0034772548695283026,-0.028078957270362765,-0.019548402582894177,0.03706172547972454,0.00022099225282762566,-0.04834571631659055,0.06377373837968184
1.3,0.003718138830815143,-0.030024103861531804,-0.020902602038407832,0.03962914592506352,0.00023630130875600016,-0.051694825914406696,0.06819161147307756
1.35,0.003963694224289545,-0.03200697243446737,-0.02228306331264562,0.04224635603030051,0.0002519072512692803,-0.05510888437096515,0.07269515982047858
1.4000000000000001,0.004213600586142733,-0.03402497523246744,-0.023687984824825502,0.04490994018681533,0.0002677897137214455,-0.058583436145050204,0.07727850603415583
1.4500000000000002,0.004467541812617751,-0.03607555970640416,-0.025115589505468588,0.04761652925685333,0.00028392860656369995,-0.062114086315054495,0.08193585269083914
1.5,0.004725206160009464,-0.038156208514723816,-0.026564124796399146,0.05036280057352545,0.0003003041173444725,-0.06569650057897901,0.0866614823317172
1.55,0.004986286244664557,-0.040264439523446945,-0.028031862650744633,0.05314547794080824,0.00031689671070941693,-0.06932640525443318,0.09144975746243769
1.6,0.005250479042981533,-0.042397805806168185,-0.029517099532935614,0.05596133163354381,0.0003336871284014118,-0.07299958727863476,0.09629512055310709
1.6500000000000001,0.0055174858914107195,-0.044553895644056415,-0.031018156418705846,0.05880717839743986,0.0003506563892605603,-0.0767118942084099,0.10119209403829085
1.7000000000000002,0.005787012486454258,-0.04673033252585465,-0.03253337879509223,0.06167988144906966,0.0003677857892241904,-0.08045923422019316,0.10613528031701332
1.75,0.006058768884666114,-0.04892477514788008,-0.0340611366604348,0.06457635047587204,0.0003850569013268549,-0.08423757611002736,0.11111936175275763
1.8,0.006332469502652073,-0.051134917414024116,-0.03559982452437682,0.06749354163615148,0.00040245157570033155,-0.08804294929356386,0.11613910067346596
1.85,0.0066078331170697415,-0.05335848843575229,-0.037147861407864635,0.07042845755907799,0.00041995193957362247,-0.09187144380606231,0.12118933937153935
1.9000000000000001,0.006884582864628543,-0.05559325253210436,-0.03870369084314777,0.07337814734468714,0.00043754039727295486,-0.09571921030239074,0.12626500010383768
