,q0,q1,q2,q3,q4,q5,q6
0.0,3.656013318773089e-16,1.5034844138787807e-15,2.458686823645511e-16,2.383459804586429e-15,-1.6018516575851262e-16,1.005327780581062e-15,-1.2853218774016912e-15
0.05,0.00549504569829769,-0.009704163099804299,-0.0025204167117543175,-0.00010014720009352517,0.004153376329951358,0.0010821589949252175,-0.0005617611811707338
0.1,0.008605810437879887,-0.013072096912533132,-0.0039224372179632126,-0.0025637888921311736,0.004719271035984818,0.0024409355792702706,0.00011041909699473391
0.15000000000000002,0.010208075293410834,-0.013906112839420795,-0.004317694049427154,-0.004635963942160804,0.004299320902118533,0.0035993201688420216,0.0012981828420258537
0.2,0.010829217325021763,-0.013600564224827914,-0.0039710312517403385,-0.005918576311574129,0.0035935657096389743,0.004673656804187333,0.002701653562552836
0.25,0.010853586439522332,-0.012619428340380153,-0.0030678743537692257,-0.006632388905559777,0.002774197007123334,0.005844847386121607,0.004195457798614069
0.30000000000000004,0.010529152488725322,-0.011083532484534373,-0.0017151926108362697,-0.007035175167518714,0.0018524797655105206,0.007230006787237155,0.005761474219649851
0.35000000000000003,0.010010718113927144,-0.008993916080763435,3.297141384606074e-05,-0.00730826082721093,0.0008080328606500601,0.008882688954420277,0.007420456402036747
0.4,0.009396129943905313,-0.006308303228690856,0.0021496979398953446,-0.007560061896730141,-0.000382008163388347,0.010817078956409381,0.00920030121103246
0.45,0.008750854273210394,-0.0029730128266457533,0.004624196811230158,-0.00786634904995658,-0.0017272326973099055,0.013023308604311477,0.01111837393935553
0.5,0.008122996271002637,0.0010716687407506722,0.0074492282540944855,-0.008268880775557083,-0.0032444655796015458,0.015496366199888697,0.013188433988584887
0.55,0.00754994050716202,0.005884093637749048,0.010620986516608113,-0.008805223138820087,-0.004943568983680875,0.01822617289648343,0.015414182884239506
0.6000000000000001,0.007064652048055434,0.011520905568003639,0.014137293954032785,-0.009502366962583268,-0.006827366307141633,0.02119563485367118,0.017793804014095825
0.65,0.0066985680991485195,0.018035959699435316,0.018005616190392724,-0.010341442276779023,-0.008844008505292801,0.02430673343868128,0.020315680564007007
0.7000000000000001,0.006498274497640934,0.02546935761095128,0.022220644702046502,-0.011371461202059945,-0.011020112439208977,0.027621418928410232,0.02297317959667812
0.75,0.006492691116283875,0.03387075278278864,0.026769236549851742,-0.012626506398515362,-0.013374308714883806,0.03113956271747961,0.025766100236510787
0.8,0.006690463307245521,0.043286072911670456,0.03164453373147555,-0.014181260480238309,-0.015927895784815148,0.03487146290786657,0.02868973057298082
0.8500000000000001,0.0071411724967167245,0.05375387665759822,0.036837462303108026,-0.01602061445157299,-0.018659621813754877,0.038784449513458163,0.03173672445342907
0.9,0.007870003057262858,0.06531222277954131,0.0423347264000514,-0.018173057204950785,-0.021569408633530872,0.04285698461784835,0.03490502836064116
0.9500000000000001,0.008857759947543266,0.07791031662334982,0.04806324164207408,-0.0200501331688112,-0.02478731542817661,0.047121030256419505,0.03832289930967277
1.0,0.003909136507956094,0.08271975654685255,0.05418628607530946,-0.01611621432099336,-0.02749662728562413,0.05106142150782303,0.04362859076731532
1.05,-0.0013828664151661757,0.08486476425142797,0.05998296129866555,-0.012057881918661792,-0.029163988731238294,0.05501819649906414,0.04826732291974537
1.1,-0.005018757715791182,0.08799608918869695,0.06553044668749772,-0.00991975973483629,-0.030924483164700672,0.05995554161299474,0.05225285928882728
1.1500000000000001,-0.007568018812712195,0.09175807728388086,0.07105554920196128,-0.008523416119313065,-0.03268207435817737,0.06532250917406754,0.05621498235754514
1.2000000000000002,-0.00945679548655191,0.0959683415302536,0.07665172100513454,-0.007402958321254899,-0.034454756141981846,0.07090873621233049,0.0603716591982084
1.25,-0.010934897859622632,0.10049908487649759,0.08236139692877192,-0.006359811040234559,-0.03624193309783971,0.07665685716626781,0.06475628956120469
1.3,-0.012162350430039697,0.10529805691605004,0.08818725099482937,-0.0053335276627680395,-0.03804724431869616,0.08250160112300894,0.06935037294651147
1.35,-0.013229102825457112,0.11029654199747851,0.09413331767875369,-0.004277392197098079,-0.03987091677278974,0.08846652384785308,0.07412233538118217
1.4000000000000001,-0.014208990162645749,0.1154876098391559,0.10018393654193306,-0.00321271607302287,-0.041743848903951525,0.09454728081789116,0.07904955121538773
1.4500000000000002,-0.015120595501622772,0.12084912488977785,0.10633792109915832,-0.0021249085878294327,-0.043633763434468856,0.10071768951928739,0.08409644581457473
1.5,-0.015973941996778842,0.1263215713733849,0.11260892087428198,-0.000970271341103085,-0.04549596080586121,0.10699180349319498,0.08923376163288838
1.55,-0.016802525122656644,0.1319389452654499,0.11894867610137645,0.00018685478394636634,-0.04740919259146631,0.11336475429755205,0.09447149205021785
1.6,-0.017586840412072202,0.13766924267417063,0.12538077624772542,0.0013951643244261291,-0.049296028512982815,0.11981487890957392,0.09977205030864209
1.6500000000000001,-0.018342309243570738,0.14350763949384365,0.1318792871904833,0.0026111128281942897,-0.051204668502734224,0.12637887780916685,0.10513949224388672
