,x,y,z,rx,ry,rz
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,3.468780688908879e-05,3.05624031549101e-05,3.6227937515453945e-05,-5.1295399776662975e-05,-7.238421390720617e-05,5.87902373272442e-05
0.1,0.00024072515901751856,0.00021210361043688675,0.0002514233300077162,-0.00035599064989177975,-0.0005023350810440252,0.0004080069344825077
0.15000000000000002,0.0006470534581914933,0.0005701879920066988,0.0006758963543285201,-0.0009569898864469906,-0.0013502939760667854,0.0010968399421429353
0.2,0.0012473723401429382,0.0010994704347033757,0.0013033325719957745,-0.0018453136122165148,-0.0026032671148035202,0.0021150514094259165
0.25,0.0020352975560333775,0.001794755239116208,0.0021276180450663373,-0.0030122243178620778,-0.004248252039172895,0.0034527388004201853
0.30000000000000004,0.0030043127272549874,0.002651026661492639,0.003142883295828014,-0.004449275534152974,-0.006272191448761788,0.00510040956904767
0.35000000000000003,0.004147726750305392,0.003663475376673997,0.004343541622942038,-0.006148355276032191,-0.008661932188799293,0.00704904638550552
0.4,0.005458636371336034,0.004827520941783625,0.005724321990367431,-0.008101724425957357,-0.011404188821774186,0.00929016334542343
0.45,0.006929893441951496,0.0061388303245074605,0.007280296693109589,-0.01030205061529621,-0.014485511189903377,0.011815853580436908
0.5,0.00855407636930483,0.007593332549131748,0.009006903992992421,-0.01274243815878151,-0.017892255369441612,0.014618828677530615
0.55,0.010323465284076683,0.009187229506848471,0.010899965909329512,-0.015416454580927663,-0.021610557423896726,0.01769245030685429
0.6000000000000001,0.012230020467922653,0.010917002973331313,0.012955701342193815,-0.018318154242900064,-0.02562630937854693,0.021030754450919176
0.65,0.014265363606891235,0.012779417875793397,0.015170734699683774,-0.021442099539230597,-0.02992513686255971,0.024628468624277033
0.7000000000000001,0.01642076146751492,0.014771521852652847,0.017542100195073185,-0.02478338008324421,-0.03449237789500681,0.02848102246943096
0.75,0.01868711162779979,0.0168906411513825,0.02006724197452625,-0.028337630242258882,-0.0393130623262683,0.03258455211252009
0.8,0.02105492993433211,0.019134372913524045,0.0227440102311538,-0.03210104531806479,-0.04437189148504883,0.03693589866053504
0.8500000000000001,0.023514339399386408,0.02150057389981752,0.02557065345604237,-0.03607039659712541,-0.049653217622661616,0.04153260121864566
0.9,0.026055060296774624,0.023987345713000763,0.028545806972242183,-0.04024304542003421,-0.05514102278970645,0.04637288480192847
0.9500000000000001,0.02866640126200304,0.026593016580579998,0.03166847789237204,-0.04461695634016216,-0.060818896824325064,0.0514556435085467
1.0,0.031337251250451725,0.029316119765055992,0.03493802663578127,-0.049190709361939255,-0.06667001417617446,0.05678041931009403
1.05,0.034056072255885805,0.032155368674403606,0.03835414513609858,-0.05396351116649711,-0.07267710933500426,0.06234737679902125
1.1,0.03681089274087723,0.035109628751538446,0.04191683186546946,-0.05893520515253492,-0.07882245067775906,0.06815727421017659
1.1500000000000001,0.03958930177885067,0.03817788622761942,0.04562636379710938,-0.06410628003791885,-0.08508781259224607,0.07421143100371008
1.2000000000000002,0.04237844395599488,0.04135921383123242,0.049483265424143386,-0.06947787669030703,-0.09145444578044448,0.0805116922580007
1.25,0.04516501512750182,0.044652733553243174,0.05348827494955688,-0.07505179277701224,-0.09790304568866204,0.08706039007286837
1.3,0.04793525916831243,0.04805757657627474,0.05764230775930801,-0.08083048474958332,-0.10441371905724028,0.0938603021244111
1.35,0.05067496590163367,0.05157284048805666,0.061946417290161815,-0.08681706660627952,-0.11096594862878173,0.10091460744234393
1.4000000000000001,0.053369470429784904,0.055197543910046054,0.0664017534031669,-0.09301530480390063,-0.11753855610215025,0.10822683939887057
1.4500000000000002,0.05600365413030106,0.058930578686564594,0.0710095183759274,-0.099429608621735,-0.1241096634706329,0.11580083580294165
1.5,0.05856194761620914,0.06277065979559016,0.07577092062957536,-0.10606501521102096,-0.13065665293782724,0.12364068588727406
1.55,0.06102833599118451,0.0667162731609039,0.0806871263121578,-0.11292716849515827,-0.1371561256650694,0.13175067385660988
1.6,0.06338636675937703,0.07076562156562494,0.0857592088666359,-0.12002229101680584,-0.1435838596713962,0.14013521853493582
1.6500000000000001,0.06561916077429064,0.07491656889084153,0.09098809672192454,-0.12735714775745421,-0.1499147672823864,0.14879880850878102
1.7000000000000002,0.06770942663101964,0.07916658292884016,0.09637451925647023,-0.13493900088414001,-0.1561228526098296,0.15774593201401288
1.75,0.06963947892209443,0.08351267704910958,0.1019189511982399,-0.14277555430397548,-0.16218116964175966,0.16698100065646315
1.8,0.0713912607868572,0.08795135102670104,0.10762155564143838,-0.1508748868341847,-0.1680617816340968,0.1765082658965067
1.85,0.07294637118929526,0.09247853137627493,0.1134821258791141,-0.15924537272163697,-0.17373572262297576,0.1863317270655962
1.9000000000000001,0.07428609735729452,0.0970895115714504,0.11950002627194922,-0.1678955881755595,-0.17917296202294541,0.19645502952598815
1.9500000000000002,0.07539145280862192,0.10177889256724304,0.12567413239730985,-0.17683420251488613,-0.18434237344242432,0.2068813514366985
2.0,0.07624322137346207,0.106540524083516,0.1320027707478566,-0.18606985247934915,-0.18921170903582918,0.21761327745781323
2.0500000000000003,0.07682200760116054,0.11136744714844882,0.13848365827692888,-0.19561099822386296,-0.1937475809230993,0.22865265762081144
