,q0,q1,q2,q3,q4,q5,q6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0021828291464687233,-0.2760219229765326,-0.01797364916136567,-4.202019565509804e-14,-0.0028503785465455733,0.2701524833527813,-0.054451600957694524
0.1,-0.0043687204819620185,-0.5510776863132172,-0.03606930238213551,1.4418772160397462e-13,-0.00574044807616636,0.5392394814517587,-0.10906421872851624
0.15000000000000002,-0.00437795588547063,-0.5481719373531924,-0.036423034069691954,6.406198207865193e-14,-0.005873282956331272,0.5360399473685717,-0.10954850244937475
0.2,-0.004393509619182723,-0.5433053892034856,-0.03697037415318358,-2.649096866064955e-13,-0.006141831181172286,0.5306976653336903,-0.11035977016540244
0.25,-0.004415618921405073,-0.5364446815365298,-0.03764452143247042,2.0006205992195613e-13,-0.006620331203519014,0.5231999056764636,-0.11150427488217929
0.30000000000000004,-0.004444606309716992,-0.5275472460571251,-0.03834855873505096,-7.295947630488753e-14,-0.007416156885015068,0.5135324999425706,-0.11299089354315228
0.35000000000000003,-0.0042354883105666374,-0.48677680819189106,-0.03688079657401689,-2.415546098038849e-13,-0.008282606087336997,0.47262755002552836,-0.10863403700058782
0.4,-0.001075615613033154,-0.09060852557238874,-0.010023607069385536,2.337683494567088e-13,-0.004660086415253506,0.08538658078247607,-0.029574125266762508
0.45,-9.899112501932095e-05,0.029715080761771873,-0.0012901970562782111,-7.302465152743782e-14,-0.0037689514129857216,-0.03193159936305534,-0.00499861662524026
0.5,-0.00010067216603681928,0.02989554232009084,-0.0008724295304029378,-1.558895893550815e-14,-0.0042465222774540345,-0.03195999538920802,-0.005050634538061871
0.55,-0.00010230532531130265,0.030055424085251303,-0.0005429574809159843,2.0860713018190154e-13,-0.0046361104073494586,-0.03197093477069757,-0.005103354732227672
0.6000000000000001,-0.00010389170319591301,0.030195183363623812,-0.0003233253644405881,-2.687882198878072e-13,-0.004916190277412524,-0.03196497194046799,-0.005156787910109983
0.65,-0.0001054324567983933,0.030315296092009447,-0.00023092756198696274,2.0589811473091102e-13,-0.005069386854619773,-0.03194266863069117,-0.00521094493901586
0.7000000000000001,0.0008985616064327573,0.14257067622054365,0.00819121317448164,1.229262100532125e-13,-0.002493087006030792,-0.14069780760248563,0.020716707152867997
0.75,0.004185675895584939,0.5013509845517738,0.03563638028408894,-3.8377265193000907e-13,0.006980049533397703,-0.488172644821816,0.106120680413202
0.8,0.004475762541011896,0.518348099289323,0.03778914783033674,1.9904403556651145e-13,0.009533360853131168,-0.5037793650558342,0.11452312957445088
0.8500000000000001,0.004508707904959941,0.509080538111828,0.037914137953694305,-9.471163382765975e-14,0.011056337695011798,-0.4941031361585857,0.1161401204980983
0.9,0.004534662260480271,0.5018586731223351,0.03809950419906283,1.6495429270613712e-13,0.012167396648735118,-0.48659435186557687,0.11741116263292994
0.9500000000000001,0.004553374229110396,0.49669445020210645,0.038290457580000825,-1.3404388307658376e-14,0.012910362542239984,-0.48124142740970655,0.11832629089125746
1.0,0.004564669619422368,0.4935940731278343,0.03843135383668761,-1.2894120149697178e-13,0.013332990306394454,-0.47803423074661566,0.11887828495424912
