,x,y,z,rx,ry,rz
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0034433802223654553,0.0012508370532012501,-0.02595892233182795,-0.027670684546912128,-0.012223164339529025,0.005574047646872415
0.1,-0.0028350488655681794,0.0006099085357329399,-0.03759300461234405,-0.0185722694677537,-0.0072927052617180466,-0.0002459099208440563
0.15000000000000002,-0.0024448217381256576,-0.00013953040179754198,-0.056073834926436694,-0.012701740778622295,-0.0036029175586946294,-0.00640014563547453
0.2,-0.002647901807912856,-0.0007662152504444263,-0.08103793695224404,-0.011808649598155085,-0.002025770425462814,-0.011849988417385049
0.25,-0.0032355070212242154,-0.001307761965594137,-0.1098646525245206,-0.013383554890582516,-0.0014823514460429732,-0.01693358855450633
0.30000000000000004,-0.004057322747019754,-0.0017959939355649372,-0.14092052865962046,-0.016080118223387174,-0.0014072742159829121,-0.0218466908906656
0.35000000000000003,-0.004975300473082367,-0.00224513089588119,-0.17247240860322366,-0.0191149403696933,-0.0015229458394525053,-0.026560874783667643
0.4,-0.005582460926445432,-0.002542656891597918,-0.19451924632134188,-0.02107034983476197,-0.001750173713383485,-0.029420048262140952
0.45,-0.005942353280401491,-0.002708762655493826,-0.2081125417937535,-0.022479695632098284,-0.00219204344959395,-0.03074893170465387
0.5,-0.006102625007817775,-0.002803625519880318,-0.216259963256884,-0.023115056594980032,-0.0024806456595014015,-0.03142465403668915
0.55,-0.006129502574157009,-0.0028673263160357027,-0.22101744181049154,-0.023204220892472094,-0.0025957854729821705,-0.03182134726556818
0.6000000000000001,-0.006100196958054305,-0.0029118399935210582,-0.22379439912001087,-0.023106461694473168,-0.0026456127683388564,-0.03206159573526435
0.65,-0.006061525692917513,-0.002942492671693603,-0.2254331242581542,-0.022998315620048615,-0.0026876135101841503,-0.03220431700909465
0.7000000000000001,-0.005903237751463397,-0.0029325032409713465,-0.22335642349621598,-0.0224869855200982,-0.0026978117762124776,-0.031776173706177246
0.75,-0.005383311833673243,-0.0027761951979817217,-0.20933998624682149,-0.020717714032283396,-0.002684755048388554,-0.02931080806679809
0.8,-0.0047878299394921164,-0.002490145700336302,-0.18757927373328154,-0.01856039716582103,-0.0027064162707293726,-0.02559284822208241
0.8500000000000001,-0.004049703778370439,-0.0021418544441575895,-0.16070577011278175,-0.015579346866099186,-0.0024124080817153337,-0.02136275810030952
0.9,-0.0032570507659435144,-0.0017529845345026426,-0.1307750535246427,-0.012214603037064009,-0.0019521428026403331,-0.01685421095293016
0.9500000000000001,-0.0024721700370444744,-0.0013297039849919853,-0.09907215909229661,-0.008754092798923807,-0.0014427964290383843,-0.01216861506549094
