,q0,q1,q2,q3,q4,q5,q6
0.0,2.2099005419745794e-15,-2.801125141821649e-15,-8.359019416943778e-16,-4.82217635453122e-15,1.3240336178117666e-16,2.5072056074557003e-15,2.8843506916207947e-15
0.05,-0.004221481419143021,0.015483606705249148,0.0007061567568202244,0.00916584535298803,-0.0021446486432427515,-0.021523305036856774,0.005200621982153599
0.1,-0.010208072827356232,0.0173585267656757,-0.0007965927152255832,0.03530699661870243,-0.004349611472827034,-0.059090741793039255,0.013403334618803133
0.15000000000000002,-0.017087031967454234,0.009398354429310111,-0.0038516063979196604,0.072751705332615,-0.006744979290559658,-0.10699466421368334,0.023343844706850504
0.2,-0.024345710509217484,-0.004287009433902611,-0.007973337211447041,0.11682424611857538,-0.009720733707668273,-0.16208281208853204,0.034474523222741596
0.25,-0.03130664463476753,-0.022004194538111584,-0.013021039617696142,0.16342925028411592,-0.01364145363123322,-0.2214599951437551,0.0462904317104529
0.30000000000000004,-0.037276521773799434,-0.04337494373807342,-0.019047149808988688,0.2091671987538616,-0.01885441111601639,-0.28275144092911936,0.058379659751807644
0.35000000000000003,-0.0414722209032898,-0.06816232356612759,-0.026059877290496258,0.2501626418518127,-0.02556973517386407,-0.3426399883200606,0.07012326600424892
0.4,-0.0415490988645865,-0.09021134268562597,-0.032399010340891564,0.27030837591843115,-0.03265920446118497,-0.3813224510475278,0.07744842300655178
0.45,-0.038587150526026195,-0.10842351524520676,-0.037787046526036185,0.2730355507251338,-0.039440483652960406,-0.4012974387567912,0.08107797629613658
0.5,-0.03410482700189654,-0.12404773705810569,-0.0425091649212319,0.26582059724947416,-0.04566525168629062,-0.4100983570540875,0.08264460307115726
0.55,-0.028966243156306325,-0.13794557397758458,-0.04674926097899008,0.2531604290134478,-0.05124552309118126,-0.4122516572166105,0.08303745060336007
0.6000000000000001,-0.02364343665838465,-0.15062461833020885,-0.05062675451260134,0.23764842083787519,-0.05620002088920902,-0.41050307450292356,0.08275166779198517
0.65,-0.01837896055391699,-0.16239250930484292,-0.05422184517946066,0.2207253070580635,-0.06059082248224194,-0.4064963782960028,0.08206157987631162
0.7000000000000001,-0.013125513824979926,-0.170588037386329,-0.05676662747063917,0.20018049261832663,-0.06373094673269832,-0.3958635268578742,0.0799836814433408
0.75,-0.007931277133748728,-0.16609653938119037,-0.05566390664003264,0.1695125756839262,-0.06323101350230483,-0.3646652418543592,0.07355434936766224
0.8,-0.0037991728819965695,-0.1509329926603793,-0.051504318016721146,0.1356294637600069,-0.059572986960697086,-0.3212169409265323,0.06464548146275348
0.8500000000000001,-0.0010433020022469486,-0.1279520414615893,-0.045048842306402374,0.10273262032487734,-0.053466816737006304,-0.2713901970165372,0.05451132888696243
0.9,0.000400046486510125,-0.0993015129464454,-0.03690400543723789,0.07255994491720312,-0.045572620077279524,-0.21849931348461268,0.04383801201261658
0.9500000000000001,0.000749932571422458,-0.06658143707516073,-0.027547470308110424,0.04546400010458251,-0.036439043202201746,-0.16433373778916582,0.032987925354196104
