,q0,q1,q2,q3,q4,q5,q6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.0002940355232043364,-0.00016279764716177928,-0.00027542704747468165,-0.00156536120852964,-0.0005295111381194575,0.001008393090504842,-0.0002805323679083971
0.1,-0.0017020280898004565,-0.0016448572102070822,-0.0017187385340893522,-0.0025202192988162254,-0.002066711290295309,0.003248899271353085,-0.001679810954250567
0.15000000000000002,-0.0038145441133580365,-0.004346927259987314,-0.004093147883231678,-0.004415325247093402,-0.004674207481024185,0.007029423966789149,-0.0037550045410136594
0.2,-0.006160207748263015,-0.00755162427986848,-0.006968763481288002,-0.006921298923013091,-0.00785285905191892,0.011593355158634761,-0.006032922239762041
0.25,-0.00853659428989305,-0.0109493233033112,-0.01009043688385899,-0.009761293010890904,-0.011319599253504783,0.016452783375852723,-0.008310622717349002
0.30000000000000004,-0.010863690668055856,-0.014394365822327981,-0.013308926567093165,-0.012754614277742955,-0.014919123133159224,0.02135382992691094,-0.010500933713015817
0.35000000000000003,-0.013116164209897403,-0.017810394381194684,-0.0165390366222736,-0.015796347246380356,-0.018570122816387452,0.02617977789523354,-0.012561775284561033
0.4,-0.015293530242606775,-0.02115742999111596,-0.019733893941158022,-0.018827319304798255,-0.022232463230972856,0.03087874317485511,-0.014465693259866994
0.45,-0.01740809223256236,-0.0244155692459762,-0.022869219772465057,-0.021814994210673528,-0.025887250159675832,0.035428063975621454,-0.016188042076303293
0.5,-0.019480935588101263,-0.027575762203548675,-0.025933649111739374,-0.024742510883272034,-0.02952409294724366,0.03981822855117438,-0.017703684558044372
0.55,-0.021541280417151816,-0.030634765132742676,-0.028922607886847397,-0.027602253816198328,-0.03313228931913084,0.044045511759164234,-0.018987718505650564
0.6000000000000001,-0.023626808525126358,-0.03359245952585209,-0.031834160683698924,-0.030392059441994943,-0.03669426886970622,0.04810858989994858,-0.02001842268930274
0.65,-0.025783557655355074,-0.03645044828796004,-0.03466581570426414,-0.033113020368193864,-0.04018066504175112,0.052007015854344564,-0.020781762648044433
0.7000000000000001,-0.028064358392741462,-0.03921134141683047,-0.03741167678262377,-0.035768263715710985,-0.043547148233396595,0.055740541769240606,-0.021277103491709054
0.75,-0.030525004875347622,-0.04187842240919618,-0.04005965651551872,-0.03836232644287722,-0.04673374493427227,0.059308803432468124,-0.02152357214890821
0.8,-0.03321767785721193,-0.04445553318010494,-0.04258876321861029,-0.04090090557326023,-0.049667739017398155,0.06271113759143236,-0.021565978850752385
0.8500000000000001,-0.03618175613409089,-0.04694709465625328,-0.04496675699104259,-0.04339085810445675,-0.052271238235973155,0.06594642401904001,-0.021478553308975912
0.9,-0.039433090887072766,-0.0493582255215641,-0.04714869317090489,-0.04584038547517953,-0.05447388948598281,0.06901289797621259,-0.02136430489057775
0.9500000000000001,-0.04295386390486072,-0.051694951722870905,-0.04907694986352448,-0.048259377977662374,-0.056229957301609235,0.07190789981003476,-0.02134801713606707
1.0,-0.04668580566360665,-0.053964523811825746,-0.05068319531819937,-0.05065992285645582,-0.057537280397888316,0.07462753419956933,-0.02156209880242399
1.05,-0.050529174717139774,-0.056175885900412656,-0.05189241977609553,-0.05305700372146199,-0.05845415657690818,0.07716620753308145,-0.022126694453598883
1.1,-0.054348108269741124,-0.05834037401923044,-0.0526288583293686,-0.05546944065383842,-0.05910986901546733,0.07951599956018199,-0.023127887536915637
1.1500000000000001,-0.0579800697896201,-0.060472768629803164,-0.05282378965820497,-0.057921144780517034,-0.05970589886377248,0.0816658024072825,-0.02459922247037366
1.2000000000000002,-0.06124434094835644,-0.06259288370218732,-0.052426293068094654,-0.06044279588650198,-0.060507375278949366,0.08360012735710534,-0.026510946144768788
1.25,-0.06394351972011936,-0.06472790541829407,-0.05142036199664926,-0.06307414625284946,-0.06182619468852721,0.08529744853793791,-0.028768161061120123
1.3,-0.06585432532547425,-0.06691549816227133,-0.04985502352754176,-0.06586753405160184,-0.06399586714686573,0.086727972550215,-0.031214895773536422
1.35,-0.06671081377890187,-0.06920654606767732,-0.04789680122836468,-0.06889480359216188,-0.06733106107404185,0.08785092171861603,-0.03363884943475476
1.4000000000000001,-0.06619547112148308,-0.07166264798353306,-0.04591199807818913,-0.07226570246398306,-0.072051178105879,0.08861184498227814,-0.0357752472118017
1.4500000000000002,-0.06397344629842011,-0.07433961690020849,-0.04457409326142539,-0.07617862848523754,-0.07813223417560522,0.0889390977972529,-0.03731643052848177
1.5,-0.05984153412679022,-0.07727680523545333,-0.04496907296252531,-0.08102655674145698,-0.08505477949975096,0.08871213594896676,-0.03791430977325955
1.55,-0.05416999084518273,-0.08065417540446873,-0.04866841087766818,-0.08723113689048656,-0.09150217488720941,0.08775032889622975,-0.03694090343139472
1.6,-0.04862100695663174,-0.08496113999666571,-0.05727864763695842,-0.09524387057244205,-0.0950124350600609,0.08558880620028436,-0.033569059023745296
1.6500000000000001,-0.04667644862197798,-0.09079638903931986,-0.07116725644107119,-0.10599302904189478,-0.09204204544605743,0.0817222429848552,-0.0274780930858895
1.7000000000000002,-0.05360694234354063,-0.09899763223860103,-0.08810034060106234,-0.12177167141607242,-0.07914339390781289,0.0752173419910207,-0.0190998542455878
1.75,-0.07581432812094308,-0.11140716607051793,-0.10285448228547822,-0.14673092002928656,-0.05485521619463307,0.06404752799648167,-0.008724530427692834
1.8,-0.12049359373822122,-0.132212214268827,-0.1082972410621541,-0.18927371590726272,-0.020144023230724284,0.04378927291065954,0.004693527537519837
1.85,-0.20099057694320632,-0.17188106212571497,-0.09660493173409501,-0.27064128962892786,0.02532645403651057,0.003486899222300277,0.02637921941409077
1.9000000000000001,-0.364385701135328,-0.26345962503352693,-0.05336226698087587,-0.4585476843304759,0.09519673920191818,-0.09148618974695821,0.07548467909059178
1.9500000000000002,-0.8560420100805555,-0.566400381574037,0.09314870167785705,-1.0802494182577038,0.2719017336451912,-0.4083719957062576,0.2438464107000117
2.0,-5.924698806880864,-3.8331401134809027,1.6673275976367723,-7.787385030632694,1.9216889870360832,-3.834968634533041,2.100000558322008
2.0500000000000003,11.380688360093565,7.640121520483053,-4.051464562975979,15.801908560069885,-3.1035488939614155,8.20701479706686,-4.503888788363137
2.1,1.8516547057572763,0.8191172371191924,-0.6815309916336559,1.6790063202569816,-0.9372275218185172,1.040490390678872,-0.4926351301057519
2.15,-44.68487364322973,-26.559116532557557,15.083203317667818,-54.5242097252263,14.646062489627448,-27.699504065541117,14.832014646888629
2.2,46.695047809775595,28.374027328118622,-16.887759700268084,58.65522940666525,-12.935492372061693,29.975801374312947,-17.288963886572553
2.25,-0.9916888574796401,-0.7698219362995767,-0.2460434826519453,-1.8468395791668546,-0.2571585085998779,-0.6238793430028022,1.2625071393973546
2.3000000000000003,-0.5409885731112984,-0.8628505015437771,-0.0922318500182695,-1.635152703839221,-0.5113006701348818,-0.7376902504629346,0.9029768663740628
2.35,-0.44015458381389205,-0.7786698006613013,0.25100136191402833,-1.4465932162896122,-0.5372885309584213,-0.6267621422106084,0.4795816325499025
2.4000000000000004,-0.6919555802887489,-0.7368885596565761,0.5560010726160058,-1.3938300575096396,-0.38189582553415313,-0.5769665890373044,0.26765111308725387
2.45,-1.1790300952787647,-0.7959329535914428,0.7968364975597353,-1.5376336375052047,-0.10049249311430697,-0.6437418925785154,0.2320472267432927
2.5,-1.7193903264503385,-0.9126348210788637,0.9534068078958291,-1.794302752542074,0.22486917567608122,-0.7733892321241598,0.29274435287134803
2.5500000000000003,-1.7977361689535165,-0.8731455121113396,0.8627806801444216,-1.7245405563270388,0.37922267355216754,-0.7370411473658023,0.31050683969774173
2.6,-1.1036188181818973,-0.5401646903544255,0.4536892355942346,-1.0430610713005883,0.22326110602970295,-0.3887059414051741,0.1827020492886544
2.6500000000000004,-0.41406130577943845,-0.23157224259599873,0.09504225772476893,-0.4097623235523029,0.030588573513394834,-0.06553541282322106,0.04475068020947326
2.7,-0.13188690741752218,-0.10611451241862913,-0.05020224360407277,-0.1530814479390541,-0.04516926968054502,0.06387462016696377,-0.015355584365330799
2.75,-0.049394014988162205,-0.06910561631982448,-0.09314912506917516,-0.07687102960346692,-0.06397717375605128,0.10010253376501854,-0.03434466664857139
2.8000000000000003,-0.027482591496057474,-0.058768098902994836,-0.10418170747055533,-0.05531702615544365,-0.06667601971793724,0.10857077194819542,-0.04041423749141071
2.85,-0.023115066124037575,-0.05596919268318068,-0.10548093785991863,-0.04983689256536916,-0.06526148683891952,0.10922268021432924,-0.04255542836675286
2.9000000000000004,-0.02409688407334576,-0.05537068280394353,-0.10362369531174975,-0.049466260324835254,-0.0629215093205393,0.10745867116228158,-0.04324106463686084
2.95,-0.026588180955504637,-0.05534366102965205,-0.10079217918003924,-0.05070632309466028,-0.06053626800106626,0.1048909847952606,-0.043266176911245235
3.0,-0.029247502900000555,-0.05533709721015523,-0.09778358931675335,-0.052302124714445064,-0.05833101104518401,0.10207242403717842,-0.04295986883370073
3.0500000000000003,-0.031607355103178136,-0.05516565545715446,-0.09488970178887945,-0.0537903358205849,-0.05633165792528372,0.09920212033949216,-0.04247928961852221
3.1,-0.03353353944725246,-0.054779651327135914,-0.0922030054769929,-0.05501453874475981,-0.054506951170015805,0.09634617143009727,-0.041903486722008054
3.1500000000000004,-0.03501995192964902,-0.054179603527361175,-0.08973641999086235,-0.05594049152461089,-0.05281498434674514,0.09351883896768998,-0.041273008888194074
3.2,-0.03610647511489207,-0.053382964231338814,-0.0874725410113486,-0.05658128113709804,-0.05121765738186124,0.09071463488246945,-0.04060860784826703
3.25,-0.03684554835259313,-0.05241112914277535,-0.08538432134914564,-0.05696604368028879,-0.04968415289400396,0.08792151574446017,-0.03992064415691443
3.3000000000000003,-0.037288791952365674,-0.051284548771507454,-0.08344367780776407,-0.057126820555524205,-0.0481907976485052,0.08512643303729694,-0.03921405670917144
3.35,-0.03748213874811723,-0.05002113041737255,-0.08162484370656364,-0.057093273427017976,-0.04671991512529894,0.08231761870414189,-0.03849105563072941
3.4000000000000004,-0.03746461238651966,-0.04863597722975399,-0.07990541175807109,-0.05689089203683828,-0.04525856970772957,0.07948537961131041,-0.037752574014562335
3.45,-0.03726859034636876,-0.0471416427352378,-0.07826638961375809,-0.05654070224711205,-0.0437974737353658,0.07662230128928416,-0.03699902973130387
3.5,-0.03692052083504649,-0.04554843946413034,-0.07669190399973602,-0.05605958285293422,-0.04233012890936638,0.07372319055463761,-0.03623078130920998
3.5500000000000003,-0.036441972442777804,-0.043864920487864945,-0.07516869436695828,-0.055460907707409746,-0.040852146402305944,0.07078468755623124,-0.0354482185664895
